Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,details,image_url,year,decadef,type,tool,rgb_colors,hex_colors
10,10,10,10,10,"Moorside Road, Fagley",1956 - Oil on canvas 19 1/4 x 28 in,https://www.hockney.com/img/gallery/paintings/50s/56A12.jpg,1956,1950s,paintings,,"[[98, 122, 129], [13, 23, 25], [214, 229, 228], [142, 145, 144], [81, 77, 71]]","['#627a81', '#0d1719', '#d6e5e4', '#8e9190', '#514d47']"
11,11,11,11,11,Labor Omnia Vincit,1956 - 1957 - Oil on board 71 3/4 x 47 3/4 in,https://www.hockney.com/img/gallery/paintings/50s/56A13.jpg,1956,1950s,paintings,,"[[149, 136, 136], [197, 205, 197], [4, 174, 225], [62, 58, 57], [203, 36, 27]]","['#958888', '#c5cdc5', '#04aee1', '#3e3a39', '#cb241b']"
12,12,12,12,12,"Bolton Junction, Eccleshill, Bradford",1956 - Oil on canvas 24 x 18 in,https://www.hockney.com/img/gallery/paintings/50s/56A21.jpg,1956,1950s,paintings,,"[[184, 183, 166], [157, 158, 129], [127, 130, 102], [90, 97, 68], [51, 60, 32]]","['#b8b7a6', '#9d9e81', '#7f8266', '#5a6144', '#333c20']"
13,13,13,13,13,Nude,1957 - Oil on board 48 x 72 1/2 in,https://www.hockney.com/img/gallery/paintings/50s/57A19.jpg,1957,1950s,paintings,,"[[92, 121, 137], [125, 151, 166], [65, 89, 103], [166, 182, 194], [33, 36, 49]]","['#5c7989', '#7d97a6', '#415967', '#a6b6c2', '#212431']"
14,14,14,14,14,"Hen Run, Eccleshill",1954 - Oil on board 23 1/2 x 29 in,https://www.hockney.com/img/gallery/paintings/50s/57A25.jpg,1954,1950s,paintings,,"[[30, 28, 24], [51, 48, 37], [73, 68, 30], [82, 73, 64], [135, 124, 97]]","['#1e1c18', '#333025', '#49441e', '#524940', '#877c61']"
15,15,15,15,15,Builders,1954 - Oil on board 19 7/8 x 30 in,https://www.hockney.com/img/gallery/paintings/50s/57A26.jpg,1954,1950s,paintings,,"[[157, 138, 111], [110, 91, 73], [151, 85, 59], [183, 186, 178], [56, 53, 52]]","['#9d8a6f', '#6e5b49', '#97553b', '#b7bab2', '#383534']"
16,16,16,16,16,"Roadmenders, Eccleshill",1957 - Oil on canvas stretched over board 48 x 33 1/4 in,https://www.hockney.com/img/gallery/paintings/50s/57A29.jpg,1957,1950s,paintings,,"[[205, 194, 166], [169, 162, 139], [132, 172, 169], [112, 116, 99], [52, 60, 55]]","['#cdc2a6', '#a9a28b', '#84aca9', '#707463', '#343c37']"
17,17,17,17,17,A Study of Trees in a Landscape,1957 - Oil on board 17 x 21 in,https://www.hockney.com/img/gallery/paintings/50s/57A34.jpg,1957,1950s,paintings,,"[[34, 71, 50], [68, 109, 73], [206, 221, 191], [115, 144, 101], [161, 184, 144]]","['#224732', '#446d49', '#ceddbf', '#739065', '#a1b890']"
18,18,18,18,18,"The Village Street, Kirton, near Felixstowe, Suffolk",1957 - Oil on board 16 x 24 in,https://www.hockney.com/img/gallery/paintings/50s/57A38.jpg,1957,1950s,paintings,,"[[218, 205, 156], [116, 141, 116], [95, 105, 71], [152, 168, 138], [47, 64, 47]]","['#dacd9c', '#748d74', '#5f6947', '#98a88a', '#2f402f']"
19,19,19,19,19,American Collectors (Fred & Marcia Weisman),1968 - acrylic on canvas 84x120 in.,https://www.hockney.com/img/gallery/paintings/60s/68A21.jpg,1968,1960s,paintings,,"[[180, 152, 134], [15, 163, 202], [102, 109, 109], [141, 175, 176], [44, 56, 54]]","['#b49886', '#0fa3ca', '#666d6d', '#8dafb0', '#2c3836']"
20,20,20,20,20,A Bigger Splash,1967 - acrylic on canvas 96x96 in.,https://www.hockney.com/img/gallery/paintings/60s/67A34.jpg,1967,1960s,paintings,,"[[229, 211, 192], [3, 143, 179], [35, 184, 220], [189, 154, 130], [96, 93, 92]]","['#e5d3c0', '#038fb3', '#23b8dc', '#bd9a82', '#605d5c']"
21,21,21,21,21,A Lawn Being Sprinkled,1967 - acrylic on canvas 60x60 in.,https://www.hockney.com/img/gallery/paintings/60s/67A01.jpg,1967,1960s,paintings,,"[[29, 170, 101], [223, 222, 217], [148, 176, 160], [134, 204, 215], [127, 114, 107]]","['#1daa65', '#dfded9', '#94b0a0', '#86ccd7', '#7f726b']"
22,22,22,22,22,"The Room, Manchester Street",1967 - acrylic 96x96 in.,https://www.hockney.com/img/gallery/paintings/60s/67A33.jpg,1967,1960s,paintings,,"[[131, 136, 120], [241, 228, 203], [68, 90, 106], [26, 22, 29], [207, 189, 157]]","['#838878', '#f1e4cb', '#445a6a', '#1a161d', '#cfbd9d']"
23,23,23,23,23,Beverly Hills Housewife,1966 - acrylic on 2 canvas 72x144 in.,https://www.hockney.com/img/gallery/paintings/60s/66B18.jpg,1966,1960s,paintings,,"[[123, 122, 126], [166, 156, 162], [96, 179, 162], [202, 203, 196], [70, 70, 74]]","['#7b7a7e', '#a69ca2', '#60b3a2', '#cacbc4', '#46464a']"
24,24,24,24,24,Portrait of Nick Wilder,1966 - acrylic on canvas 72x72 in.,https://www.hockney.com/img/gallery/paintings/60s/66B24.jpg,1966,1960s,paintings,,"[[231, 225, 191], [136, 139, 132], [29, 62, 59], [18, 139, 175], [138, 207, 234]]","['#e7e1bf', '#888b84', '#1d3e3b', '#128baf', '#8acfea']"
25,25,25,25,25,Peter Getting Out of Nick’s Pool,1966 - acrylic on canvas 84x84 in.,https://www.hockney.com/img/gallery/paintings/60s/66B21.jpg,1966,1960s,paintings,,"[[153, 149, 134], [193, 198, 201], [10, 153, 210], [99, 183, 223], [36, 84, 67]]","['#999586', '#c1c6c9', '#0a99d2', '#63b7df', '#245443']"
26,26,26,26,26,Man In Shower in Beverly Hills,1964 - acrylic on canvas 65 1/2 x 65 1/2 in.,https://www.hockney.com/img/gallery/paintings/60s/64A31.jpg,1964,1960s,paintings,,"[[137, 142, 141], [189, 169, 173], [71, 106, 109], [32, 33, 34], [236, 229, 224]]","['#898e8d', '#bda9ad', '#476a6d', '#202122', '#ece5e0']"
27,27,27,27,27,California Art Collector,1964 - acrylic on canvas 60x72 in.,https://www.hockney.com/img/gallery/paintings/60s/64A30.jpg,1964,1960s,paintings,,"[[218, 217, 219], [198, 170, 190], [4, 82, 142], [94, 91, 93], [194, 118, 37]]","['#dad9db', '#c6aabe', '#04528e', '#5e5b5d', '#c27625']"
